tanggal_cuaca,suhu,kelembaban,kecepatan_angin,curah_hujan,radiasi_matahari
2019-10-18,28.268747,76.30694,15.281989,0.4,21.32
2019-10-19,28.612501,70.49778,18.36353,0.0,22.35
2019-10-20,29.533333,59.018726,23.277834,0.0,25.91
2019-10-21,29.174997,61.345066,20.163212,0.0,25.76
2019-10-22,29.327082,63.80057,18.391735,0.0,24.18
2019-10-23,29.439583,66.32376,17.771753,0.1,24.36
2019-10-24,29.1,68.483185,17.373497,0.8,23.49
2019-10-25,29.268753,66.601685,16.923828,0.0,23.77
2019-10-26,28.045835,77.12597,12.522619,10.7,19.36
2019-10-27,27.741667,77.894104,12.261158,4.7999997,20.19
2019-10-28,27.889582,73.84128,12.979984,0.9000001,20.54
2019-10-29,28.550001,69.086586,10.853866,0.7,22.69
2019-10-30,28.829165,68.8956,12.313894,0.9000001,21.16
2019-10-31,28.308334,73.06579,9.659814,1.2,20.51
2019-11-01,27.625002,76.47036,8.647496,3.0,19.33
2019-11-02,27.733332,77.42688,11.720751,4.3,20.4
2019-11-03,28.060417,76.039055,12.429127,1.4000001,19.04
2019-11-04,28.164587,78.09878,14.05845,2.2,21.79
2019-11-05,28.295832,76.066765,12.287555,1.2,21.75
2019-11-06,28.512499,67.76184,15.496736,0.0,24.64
2019-11-07,28.497915,72.96654,13.363711,0.2,23.0
2019-11-08,29.250002,65.24953,14.973576,0.0,24.36
2019-11-09,29.127085,72.702,12.287555,4.7,20.79
2019-11-10,29.02083,74.046486,14.48972,1.2,21.96
2019-11-11,28.60833,75.38369,12.964998,7.7,21.41
2019-11-12,27.687498,82.426674,16.167967,9.1,17.64
2019-11-13,26.249998,90.92651,13.684735,14.099999,8.27
2019-11-14,27.954165,79.66267,12.181625,1.2,21.15
2019-11-15,28.633333,72.75828,14.264361,0.4,24.21
2019-11-16,28.877083,69.04087,12.758432,0.5,22.58
2019-11-17,28.862497,73.152725,15.124284,0.3,23.21
2019-11-18,28.291664,78.31385,15.379206,7.0,22.28
2019-11-19,27.543753,81.58595,11.298495,19.699999,21.22
2019-11-20,27.002083,82.06803,11.542478,7.8,20.22
2019-11-21,27.649996,78.992165,10.587918,6.7999997,21.35
2019-11-22,27.889582,79.13499,12.371645,4.2,20.8
2019-11-23,28.027084,77.24813,10.495713,3.5,22.36
2019-11-24,27.510416,80.70324,9.531505,3.5,21.22
2019-11-25,27.46875,81.16786,12.496719,7.9999995,20.76
2019-11-26,27.685417,82.6912,11.183201,7.699999,19.84
2019-11-27,28.179169,79.012115,10.495713,3.8999999,20.76
2019-11-28,27.933334,82.83666,8.707237,5.2000003,20.55
2019-11-29,27.222921,84.901115,12.605142,4.899999,17.69
2019-11-30,28.081251,80.98267,11.440978,2.1,21.86
2019-12-01,28.5625,76.92916,11.570515,0.3,22.06
2019-12-02,28.252085,79.407036,13.004922,1.2,19.59
2019-12-03,27.918747,80.34912,12.7279215,3.2999997,20.96
2019-12-04,27.445837,83.40638,13.627795,9.1,20.86
2019-12-05,27.239586,82.73911,12.7279215,3.3,17.2
2019-12-06,26.039581,89.73049,9.021574,69.1,10.98
2019-12-07,26.839584,85.975914,11.159999,2.4,19.59
2019-12-08,27.156248,84.374535,13.891522,5.4999995,20.79
2019-12-09,26.618752,85.52096,11.159999,7.1,17.55
2019-12-10,26.914583,83.31164,10.703569,3.4,21.7
2019-12-11,25.541666,89.57037,13.722565,9.0,12.32
2019-12-12,26.843748,83.654396,9.0,0.8000001,17.81
2019-12-13,27.28333,82.12929,11.659777,4.9,22.3
2019-12-14,27.254166,83.8173,10.739833,0.70000005,18.78
2019-12-15,26.329168,86.86874,8.39657,15.4,13.3
2019-12-16,26.195833,88.39325,12.303366,34.7,15.49
2019-12-17,26.856249,85.63391,8.891343,6.0,19.22
2019-12-18,26.762499,86.067535,8.654986,2.9,16.17
2019-12-19,27.385416,84.30589,10.086427,1.4000001,18.97
2019-12-20,27.108332,86.49643,8.707237,31.1,18.5
2019-12-21,26.833334,87.04184,10.853866,14.6,19.49
2019-12-22,27.13125,84.60769,7.653705,0.9000001,17.25
2019-12-23,27.441664,84.899086,9.028754,6.3,19.73
2019-12-24,26.304169,88.477745,11.923557,8.900001,12.14
2019-12-25,26.389585,89.39858,8.64,19.5,14.19
2019-12-26,26.025,89.23203,12.57426,31.899998,15.56
2019-12-27,26.166664,87.58591,9.3669195,6.0999994,14.54
2019-12-28,26.404167,86.71698,8.714677,12.000001,11.62
2019-12-29,27.31042,86.153755,9.422101,10.699999,19.95
2019-12-30,26.414583,88.760284,12.0694,39.6,15.67
2019-12-31,25.464584,91.93216,9.726665,73.20001,7.9
2020-01-01,26.239586,86.210335,14.264361,12.4000025,18.19
2020-01-02,27.047913,84.457825,14.458382,9.999999,17.35
2020-01-03,26.179167,88.37072,16.746773,9.599999,14.17
2020-01-04,25.637499,90.94049,16.676977,18.700003,7.96
2020-01-05,25.862501,89.1648,15.546833,18.800001,14.35
2020-01-06,26.1,88.45968,18.1041,11.7,14.86
2020-01-07,26.331251,87.88143,17.906157,13.900002,15.34
2020-01-08,25.272919,93.092316,9.227524,62.99999,7.35
2020-01-09,24.706251,93.39148,10.182337,40.7,5.23
2020-01-10,25.462496,89.486015,16.171976,5.799999,9.12
2020-01-11,27.162504,81.5974,19.011953,1.6999999,21.0
2020-01-12,26.714582,86.37788,17.076298,5.5,18.99
